,StimOnset,Q1Onset,Seen,Resp1Onset,Q2Onset,Emotion,Resp2Onset,ConfQOnset,ConfROnset,ConfRT,ConfRating,Bias,Condition,StimPresent,Duration,Sname,StimID,em,PerceptC,CorrectPercept,CorrectSeen,gender
0,4.880962302999251,10.997283552002045,1,19.21570539000095,21.235276495001017,1,22.622282414002257,24.638431570001558,30.02142855800048,-5.382996987998922,7,0.7,0.0,1.0,0.016,H70A30,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Males/WM025_H70A30.png,happy,happy,1,1.0,1.0
1,35.642172265001136,41.75926669299952,1,49.19655088000218,51.2148987340006,1,53.93351571400126,Not asked,Not asked,Not asked,Not asked,,0.0,0.0,0.016,,,null,happy,0,0.0,
2,61.56939407000027,68.27195365700027,1,72.64683745799994,74.65898217400172,1,76.23081024299972,78.24160662600116,79.9708130149993,-1.7292063889981364,5,0.4,1.0,1.0,0.2,H40A60,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Males/WM025_H40A60.png,angry,happy,0,1.0,1.0
3,85.60274317299991,91.71523785700265,1,92.27967225300017,94.2912568110005,1,98.02913872700083,100.04085560699968,101.74320550600169,-1.7023498990020016,4,0.5,0.0,1.0,0.016,H50A50,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Males/WM025_H50A50.png,neutral,happy,0,1.0,1.0
4,107.37727604800239,114.0838534680006,1,124.23445002600056,126.25047106599959,1,131.54339823600094,Not asked,Not asked,Not asked,Not asked,0.5,1.0,1.0,0.2,H50A50,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Males/WM025_H50A50.png,neutral,happy,0,1.0,1.0
5,,,,,,,,,,,,,,,0.016,,,null,,0,,
6,,,,,,,,,,,,,,,0.2,,,null,,0,,
7,,,,,,,,,,,,,,,0.016,,,null,,0,,
8,,,,,,,,,,,,,,,0.016,,,null,,0,,
9,,,,,,,,,,,,,,,0.016,,,null,,0,,
10,,,,,,,,,,,,,,,0.016,,,null,,0,,
11,,,,,,,,,,,,,,,0.2,,,null,,0,,
12,,,,,,,,,,,,,,,0.016,,,null,,0,,
13,,,,,,,,,,,,,,,0.016,,,null,,0,,
14,,,,,,,,,,,,,,,0.016,,,null,,0,,
15,,,,,,,,,,,,,,,0.016,,,null,,0,,
16,,,,,,,,,,,,,,,0.2,,,null,,0,,
17,,,,,,,,,,,,,,,0.2,,,null,,0,,
18,,,,,,,,,,,,,,,0.2,,,null,,0,,
19,,,,,,,,,,,,,,,0.2,,,null,,0,,
20,,,,,,,,,,,,,,,0.2,,,null,,0,,
21,,,,,,,,,,,,,,,0.2,,,null,,0,,
22,,,,,,,,,,,,,,,0.016,,,null,,0,,
23,,,,,,,,,,,,,,,0.016,,,null,,0,,
24,,,,,,,,,,,,,,,0.016,,,null,,0,,
25,,,,,,,,,,,,,,,0.2,,,null,,0,,
26,,,,,,,,,,,,,,,0.016,,,null,,0,,
27,,,,,,,,,,,,,,,0.016,,,null,,0,,
28,,,,,,,,,,,,,,,0.016,,,null,,0,,
29,,,,,,,,,,,,,,,0.2,,,null,,0,,
30,,,,,,,,,,,,,,,0.016,,,null,,0,,
31,,,,,,,,,,,,,,,0.016,,,null,,0,,
32,,,,,,,,,,,,,,,0.016,,,null,,0,,
33,,,,,,,,,,,,,,,0.2,,,null,,0,,
34,,,,,,,,,,,,,,,0.016,,,null,,0,,
35,,,,,,,,,,,,,,,0.016,,,null,,0,,
36,,,,,,,,,,,,,,,0.016,,,null,,0,,
37,,,,,,,,,,,,,,,0.016,,,null,,0,,
38,,,,,,,,,,,,,,,0.2,,,null,,0,,
39,,,,,,,,,,,,,,,0.016,,,null,,0,,
40,,,,,,,,,,,,,,,0.2,,,null,,0,,
41,,,,,,,,,,,,,,,0.016,,,null,,0,,
42,,,,,,,,,,,,,,,0.016,,,null,,0,,
43,,,,,,,,,,,,,,,0.2,,,null,,0,,
44,,,,,,,,,,,,,,,0.016,,,null,,0,,
45,,,,,,,,,,,,,,,0.2,,,null,,0,,
46,,,,,,,,,,,,,,,0.2,,,null,,0,,
47,,,,,,,,,,,,,,,0.2,,,null,,0,,
48,,,,,,,,,,,,,,,0.2,,,null,,0,,
49,,,,,,,,,,,,,,,0.2,,,null,,0,,
50,,,,,,,,,,,,,,,0.016,,,null,,0,,
51,,,,,,,,,,,,,,,0.2,,,null,,0,,
52,,,,,,,,,,,,,,,0.2,,,null,,0,,
53,,,,,,,,,,,,,,,0.2,,,null,,0,,
54,,,,,,,,,,,,,,,0.016,,,null,,0,,
55,,,,,,,,,,,,,,,0.016,,,null,,0,,
56,,,,,,,,,,,,,,,0.016,,,null,,0,,
57,,,,,,,,,,,,,,,0.2,,,null,,0,,
58,,,,,,,,,,,,,,,0.2,,,null,,0,,
59,,,,,,,,,,,,,,,0.2,,,null,,0,,
60,,,,,,,,,,,,,,,0.016,,,null,,0,,
61,,,,,,,,,,,,,,,0.016,,,null,,0,,
62,,,,,,,,,,,,,,,0.016,,,null,,0,,
63,,,,,,,,,,,,,,,0.2,,,null,,0,,
64,,,,,,,,,,,,,,,0.016,,,null,,0,,
65,,,,,,,,,,,,,,,0.016,,,null,,0,,
66,,,,,,,,,,,,,,,0.2,,,null,,0,,
67,,,,,,,,,,,,,,,0.016,,,null,,0,,
68,,,,,,,,,,,,,,,0.2,,,null,,0,,
69,,,,,,,,,,,,,,,0.2,,,null,,0,,
70,,,,,,,,,,,,,,,0.2,,,null,,0,,
71,,,,,,,,,,,,,,,0.2,,,null,,0,,
72,,,,,,,,,,,,,,,0.2,,,null,,0,,
73,,,,,,,,,,,,,,,0.2,,,null,,0,,
74,,,,,,,,,,,,,,,0.016,,,null,,0,,
75,,,,,,,,,,,,,,,0.2,,,null,,0,,
76,,,,,,,,,,,,,,,0.2,,,null,,0,,
77,,,,,,,,,,,,,,,0.2,,,null,,0,,
78,,,,,,,,,,,,,,,0.2,,,null,,0,,
79,,,,,,,,,,,,,,,0.016,,,null,,0,,
80,,,,,,,,,,,,,,,0.2,,,null,,0,,
81,,,,,,,,,,,,,,,0.016,,,null,,0,,
82,,,,,,,,,,,,,,,0.016,,,null,,0,,
83,,,,,,,,,,,,,,,0.2,,,null,,0,,
84,,,,,,,,,,,,,,,0.2,,,null,,0,,
85,,,,,,,,,,,,,,,0.2,,,null,,0,,
86,,,,,,,,,,,,,,,0.016,,,null,,0,,
87,,,,,,,,,,,,,,,0.016,,,null,,0,,
88,,,,,,,,,,,,,,,0.2,,,null,,0,,
89,,,,,,,,,,,,,,,0.2,,,null,,0,,
90,,,,,,,,,,,,,,,0.016,,,null,,0,,
91,,,,,,,,,,,,,,,0.016,,,null,,0,,
92,,,,,,,,,,,,,,,0.016,,,null,,0,,
93,,,,,,,,,,,,,,,0.2,,,null,,0,,
94,,,,,,,,,,,,,,,0.2,,,null,,0,,
95,,,,,,,,,,,,,,,0.016,,,null,,0,,
96,,,,,,,,,,,,,,,0.2,,,null,,0,,
97,,,,,,,,,,,,,,,0.2,,,null,,0,,
