,Percept,Bias,Present,ConsciousCondition,Duration
0,,,0.0,0.0,0.0167
1,,,0.0,0.0,0.0167
2,-1.0,-0.9,1.0,0.0,0.0167
3,1.0,0.9000000000000007,1.0,0.0,0.0167
4,1.0,0.9000000000000007,1.0,1.0,0.2
5,1.0,0.5000000000000003,1.0,1.0,0.2
6,1.0,0.3000000000000004,1.0,1.0,0.2
7,-1.0,-0.4999999999999999,1.0,0.0,0.0167
8,-1.0,-0.9,1.0,1.0,0.2
9,1.0,0.5000000000000003,1.0,1.0,0.2
10,-1.0,-0.9,1.0,1.0,0.2
11,,,0.0,1.0,0.2
12,0.0,0.0,1.0,0.0,0.0167
13,-1.0,-0.9,1.0,1.0,0.2
14,,,0.0,1.0,0.2
15,,,0.0,0.0,0.0167
16,1.0,0.5000000000000003,1.0,0.0,0.0167
17,0.0,0.0,1.0,1.0,0.2
18,0.0,0.0,1.0,0.0,0.0167
19,-1.0,-0.9,1.0,1.0,0.2
20,-1.0,-0.7,1.0,1.0,0.2
21,1.0,0.9000000000000007,1.0,1.0,0.2
22,0.0,0.0,1.0,1.0,0.2
23,-1.0,-0.9,1.0,0.0,0.0167
24,0.0,0.0,1.0,1.0,0.2
25,-1.0,-0.4999999999999999,1.0,1.0,0.2
26,,,0.0,0.0,0.0167
27,0.0,0.0,1.0,0.0,0.0167
28,-1.0,-0.7,1.0,0.0,0.0167
29,-1.0,-0.2999999999999998,1.0,1.0,0.2
30,-1.0,-0.4999999999999999,1.0,1.0,0.2
31,0.0,0.0,1.0,1.0,0.2
32,,,0.0,0.0,0.0167
33,-1.0,-0.7,1.0,0.0,0.0167
34,-1.0,-0.2999999999999998,1.0,0.0,0.0167
35,1.0,0.3000000000000004,1.0,1.0,0.2
36,1.0,0.7000000000000005,1.0,1.0,0.2
37,1.0,0.5000000000000003,1.0,0.0,0.0167
38,1.0,0.9000000000000007,1.0,1.0,0.2
39,1.0,0.7000000000000005,1.0,0.0,0.0167
40,-1.0,-0.7,1.0,1.0,0.2
41,-1.0,-0.2999999999999998,1.0,1.0,0.2
42,-1.0,-0.4999999999999999,1.0,1.0,0.2
43,-1.0,-0.2999999999999998,1.0,0.0,0.0167
44,-1.0,-0.4999999999999999,1.0,0.0,0.0167
45,,,0.0,0.0,0.0167
46,1.0,0.5000000000000003,1.0,0.0,0.0167
47,-1.0,-0.4999999999999999,1.0,0.0,0.0167
48,1.0,0.7000000000000005,1.0,1.0,0.2
49,,,0.0,0.0,0.0167
50,-1.0,-0.9,1.0,1.0,0.2
51,1.0,0.5000000000000003,1.0,1.0,0.2
52,-1.0,-0.7,1.0,1.0,0.2
53,,,0.0,1.0,0.2
54,0.0,0.0,1.0,0.0,0.0167
55,,,0.0,1.0,0.2
56,1.0,0.5000000000000003,1.0,1.0,0.2
57,-1.0,-0.2999999999999998,1.0,1.0,0.2
58,1.0,0.3000000000000004,1.0,0.0,0.0167
59,1.0,0.7000000000000005,1.0,0.0,0.0167
60,,,0.0,0.0,0.0167
61,-1.0,-0.4999999999999999,1.0,1.0,0.2
62,-1.0,-0.9,1.0,0.0,0.0167
63,1.0,0.7000000000000005,1.0,1.0,0.2
64,,,0.0,1.0,0.2
65,,,0.0,1.0,0.2
66,1.0,0.9000000000000007,1.0,0.0,0.0167
67,1.0,0.3000000000000004,1.0,0.0,0.0167
68,-1.0,-0.7,1.0,0.0,0.0167
69,,,0.0,0.0,0.0167
70,-1.0,-0.4999999999999999,1.0,1.0,0.2
71,1.0,0.9000000000000007,1.0,1.0,0.2
72,-1.0,-0.7,1.0,0.0,0.0167
73,1.0,0.9000000000000007,1.0,0.0,0.0167
74,-1.0,-0.7,1.0,0.0,0.0167
75,0.0,0.0,1.0,0.0,0.0167
76,0.0,0.0,1.0,1.0,0.2
77,1.0,0.9000000000000007,1.0,1.0,0.2
78,-1.0,-0.2999999999999998,1.0,0.0,0.0167
79,,,0.0,1.0,0.2
80,1.0,0.7000000000000005,1.0,0.0,0.0167
81,1.0,0.3000000000000004,1.0,0.0,0.0167
82,1.0,0.5000000000000003,1.0,1.0,0.2
83,-1.0,-0.2999999999999998,1.0,1.0,0.2
84,1.0,0.7000000000000005,1.0,0.0,0.0167
85,-1.0,-0.4999999999999999,1.0,1.0,0.2
86,-1.0,-0.9,1.0,1.0,0.2
87,-1.0,-0.2999999999999998,1.0,1.0,0.2
88,-1.0,-0.2999999999999998,1.0,1.0,0.2
89,-1.0,-0.2999999999999998,1.0,0.0,0.0167
90,1.0,0.3000000000000004,1.0,1.0,0.2
91,1.0,0.9000000000000007,1.0,1.0,0.2
92,,,0.0,1.0,0.2
93,1.0,0.7000000000000005,1.0,0.0,0.0167
94,1.0,0.5000000000000003,1.0,1.0,0.2
95,-1.0,-0.7,1.0,0.0,0.0167
96,1.0,0.3000000000000004,1.0,0.0,0.0167
97,,,0.0,1.0,0.2
98,-1.0,-0.7,1.0,0.0,0.0167
99,1.0,0.7000000000000005,1.0,0.0,0.0167
100,-1.0,-0.9,1.0,0.0,0.0167
101,1.0,0.3000000000000004,1.0,0.0,0.0167
102,1.0,0.3000000000000004,1.0,1.0,0.2
103,1.0,0.9000000000000007,1.0,0.0,0.0167
104,1.0,0.7000000000000005,1.0,0.0,0.0167
105,-1.0,-0.4999999999999999,1.0,0.0,0.0167
106,1.0,0.5000000000000003,1.0,0.0,0.0167
107,1.0,0.3000000000000004,1.0,0.0,0.0167
