,StimOnset,Q1Onset,Seen,Resp1Onset,Q2Onset,Emotion,Resp2Onset,ConfQOnset,ConfROnset,ConfRT,ConfRating,Bias,Condition,StimPresent,Duration,Sname,StimID
0,9.883551680999517,15.991424379000819,1,37.04573697399974,39.06468775100075,1,75.19505502799984,77.22082096300073,78.87311456200041,-1.6522935989996768,5,0.8,0.0,1.0,0.016,H80A20,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H80A20.png
1,84.49271809200036,90.60233265900024,1,100.46179516300072,102.48049870900104,1,108.13015627099958,Not asked,Not asked,Not asked,Not asked,,0.0,0.0,0.016,,
2,115.78043706000062,122.47482780500104,1,135.94073130300058,137.9602259029998,1,139.79376539999976,141.80416868999964,144.797674843001,-2.9935061530013627,3,0.3,1.0,1.0,0.2,H30A70,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H30A70.png
3,150.43086736199984,156.54463454100005,1,157.76062695600012,159.77192830700005,1,161.18118912300088,163.1920609560002,166.13312589400084,-2.941064938000636,9,0.2,0.0,1.0,0.016,H20A80,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H20A80.png
4,171.76461085400115,178.46853527700114,1,179.61002667200046,181.62189724100062,1,188.95638327100096,Not asked,Not asked,Not asked,Not asked,0.2,1.0,1.0,0.2,H20A80,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H20A80.png
5,196.6033186149998,202.71717941099996,1,206.1033127110004,208.1182307880008,1,214.7323259950008,216.75011172500126,219.01622067300013,-2.266108947998873,9,0.4,0.0,1.0,0.016,H40A60,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H40A60.png
6,224.65297891900082,231.35512619700057,1,232.65353425300054,234.66506402699997,1,237.04735266100033,239.05782521000037,240.7034849339998,-1.6456597239994153,8,0.4,1.0,1.0,0.2,H40A60,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H40A60.png
7,246.3463968240012,252.45761423099975,1,253.36951308000062,255.38148010000077,4,259.3017136090002,Not asked,Not asked,Not asked,Not asked,0.3,0.0,1.0,0.016,H30A70,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H30A70.png
8,266.9415375259996,273.052829278,1,274.6781219759996,276.6904611150003,1,282.2728289830011,Not asked,Not asked,Not asked,Not asked,0.4,0.0,1.0,0.016,H40A60,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H40A60.png
9,289.9223492330002,296.0324225969998,1,300.42787506100103,302.4422046899999,1,303.69510087100025,305.70341511300103,307.9281742380008,-2.224759124999764,6,0.6,0.0,1.0,0.016,H60A40,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H60A40.png
10,313.5736551360005,319.68141524400016,1,320.7336367959997,322.7459946300005,1,324.18966283699956,326.20056304100035,328.3641359940011,-2.1635729530007666,4,0.3,0.0,1.0,0.016,H30A70,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H30A70.png
11,334.001209035001,340.7079178920012,1,341.7483350809998,343.7597208019997,1,345.93831113000124,347.94858671099973,349.3778691000007,-1.4292823890009458,3,0.5,1.0,1.0,0.2,H50A50,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H50A50.png
12,355.0022062879998,361.1151487750012,1,362.02183317600065,364.0329088110011,1,364.80187634899994,Not asked,Not asked,Not asked,Not asked,,0.0,0.0,0.016,,
13,372.437488638001,378.54986196900063,1,382.39723395799956,384.41061941800035,1,386.6189441000006,388.62805591399956,390.5800161019997,-1.9519601880001574,4,0.6,0.0,1.0,0.016,H60A40,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H60A40.png
14,396.1907953230002,402.3057525990007,1,412.4994512400008,414.51925604499957,1,424.5109723990008,426.5309706400003,428.4008093810007,-1.8698387410004216,4,0.3,0.0,1.0,0.016,H30A70,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H30A70.png
15,434.021641071,440.1309591400004,1,443.458646082001,445.4712746309997,1,447.9602313690011,Not asked,Not asked,Not asked,Not asked,0.4,0.0,1.0,0.016,H40A60,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H40A60.png
16,455.5998386680003,462.3038038779996,1,462.90010712500043,464.91203755599963,1,471.4541647260012,Not asked,Not asked,Not asked,Not asked,0.6,1.0,1.0,0.2,H60A40,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H60A40.png
17,479.1024380480012,485.81099157300014,1,488.1377347100006,490.1495187920009,1,490.989477825,Not asked,Not asked,Not asked,Not asked,0.7,1.0,1.0,0.2,H70A30,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H70A30.png
18,498.62856533500053,505.33130141699985,1,506.48860600900116,508.50060625600054,1,511.6433820530001,Not asked,Not asked,Not asked,Not asked,0.6,1.0,1.0,0.2,H60A40,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H60A40.png
19,519.2679756850011,525.9787165520011,1,529.4733304790007,531.4853971470002,1,534.040260197,Not asked,Not asked,Not asked,Not asked,0.8,1.0,1.0,0.2,H80A20,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H80A20.png
20,541.6687980229999,548.3865381140004,1,550.7891145980011,552.8008976319998,1,554.8330670520008,Not asked,Not asked,Not asked,Not asked,,1.0,0.0,0.2,,
21,562.4614226490012,569.1633618779997,1,570.10860976,572.1205294650008,1,575.2013218800003,577.2132405060001,578.6343619170002,-1.4211214110000583,4,0.5,1.0,1.0,0.2,H50A50,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H50A50.png
22,584.253140828001,590.3632104080007,1,591.3096964489996,593.3215513440009,1,594.1137172440012,Not asked,Not asked,Not asked,Not asked,0.8,0.0,1.0,0.016,H80A20,/Users/barbaragrosjean/Desktop/CHUV/PreddiBrains/Stimuli/Faces/Females/WF006_H80A20.png
