,Seen,Emotion,NoiseType,duration,ElementSize,Stimulus,EmotionC,Correct
0,1,1,Uniform,0.016,14,H20A80,angry,1
1,1,1,Uniform,0.022,14,H80A20,angry,0
2,1,1,Uniform,0.02,14,H40A60,angry,1
3,1,1,Uniform,0.025,14,H100,angry,0
4,1,1,Uniform,0.022,14,H80A20,angry,0
5,1,1,Uniform,0.02,14,H20A80,angry,1
6,4,4,Uniform,0.025,14,H100,happy,1
7,4,4,Uniform,0.02,14,H80A20,happy,1
8,1,1,Uniform,0.025,14,H20A80,angry,1
9,4,4,Uniform,0.025,14,H20A80,happy,0
10,4,4,Uniform,0.022,14,H80A20,happy,1
11,4,4,Uniform,0.022,14,H40A60,happy,0
12,4,4,Uniform,0.022,14,H100,happy,1
13,4,4,Uniform,0.022,14,H40A60,happy,0
14,4,4,Uniform,0.02,14,H40A60,happy,0
15,4,4,Uniform,0.025,14,H40A60,happy,0
16,4,4,Uniform,0.02,14,H20A80,happy,0
17,4,4,Uniform,0.02,14,H80A20,happy,1
18,4,4,Uniform,0.022,14,H50A50,happy,0
19,4,4,Uniform,0.025,14,H70A30,happy,1
20,4,4,Uniform,0.025,14,H50A50,happy,0
21,4,4,Uniform,0.022,14,H70A30,happy,1
22,4,4,Uniform,0.022,14,H60A40,happy,1
23,4,4,Uniform,0.02,14,H70A30,happy,1
24,4,4,Uniform,0.016,14,H50A50,happy,0
25,4,4,Uniform,0.025,14,H30A70,happy,0
26,4,4,Uniform,0.025,14,H70A30,happy,1
27,4,4,Uniform,0.02,14,H50A50,happy,0
28,4,4,Uniform,0.016,14,H60A40,happy,1
29,4,4,Uniform,0.016,14,H100,happy,1
30,4,4,Uniform,0.02,14,H30A70,happy,0
31,4,4,Uniform,0.016,14,H50A50,happy,0
32,4,4,Uniform,0.02,14,H60A40,happy,1
33,4,4,Uniform,0.025,14,H30A70,happy,0
34,4,4,Uniform,0.016,14,H30A70,happy,0
35,4,4,Uniform,0.02,14,H60A40,happy,1
36,4,4,Uniform,0.022,14,H60A40,happy,1
37,4,4,Uniform,0.025,14,H30A70,happy,0
38,4,4,Uniform,0.025,14,H70A30,happy,1
39,4,4,Uniform,0.025,14,H100,happy,1
40,4,4,Uniform,0.022,14,H20A80,happy,0
41,4,4,Uniform,0.016,14,H80A20,happy,1
42,4,4,Uniform,0.025,14,H40A60,happy,0
43,4,4,Uniform,0.02,14,H100,happy,1
44,4,4,Uniform,0.022,14,H80A20,happy,1
45,4,4,Uniform,0.016,14,H20A80,happy,0
46,4,4,Uniform,0.02,14,H100,happy,1
47,4,4,Uniform,0.025,14,H80A20,happy,1
48,4,4,Uniform,0.025,14,H20A80,happy,0
49,4,4,Uniform,0.02,14,H20A80,happy,0
50,4,4,Uniform,0.02,14,H80A20,happy,1
51,4,4,Uniform,0.022,14,H40A60,happy,0
52,4,4,Uniform,0.025,14,H100,happy,1
53,4,4,Uniform,0.02,14,H40A60,happy,0
54,4,4,Uniform,0.022,14,H40A60,happy,0
55,4,4,Uniform,0.02,14,H40A60,happy,0
56,4,4,Uniform,0.016,14,H20A80,happy,0
57,4,4,Uniform,0.022,14,H80A20,happy,1
58,4,4,Uniform,0.022,14,H50A50,happy,0
59,4,4,Uniform,0.022,14,H70A30,happy,1
60,4,4,Uniform,0.022,14,H50A50,happy,0
61,4,4,Uniform,0.022,14,H70A30,happy,1
62,4,4,Uniform,0.022,14,H60A40,happy,1
63,4,4,Uniform,0.02,14,H70A30,happy,1
64,4,4,Uniform,0.016,14,H50A50,happy,0
