,Percept,Bias,Present,ConsciousCondition,Duration
0,A,0.2,1.0,0.0,0.016
1,,,0.0,0.0,0.016
2,,,0.0,1.0,0.2
3,A,0.3,1.0,0.0,0.016
4,H,0.6,1.0,1.0,0.2
5,N,0.5,1.0,0.0,0.016
6,,,0.0,1.0,0.2
7,,,0.0,0.0,0.016
8,,,0.0,0.0,0.016
9,A,0.4,1.0,0.0,0.016
10,A,0.4,1.0,0.0,0.016
11,A,0.2,1.0,1.0,0.2
12,A,0.2,1.0,0.0,0.016
13,A,0.2,1.0,0.0,0.016
14,,,0.0,0.0,0.016
15,,,0.0,0.0,0.016
16,A,0.3,1.0,1.0,0.2
17,H,0.8,1.0,1.0,0.2
18,A,0.7,1.0,1.0,0.2
19,A,0.4,1.0,1.0,0.2
20,H,0.8,1.0,1.0,0.2
21,H,0.8,1.0,1.0,0.2
22,N,0.5,1.0,0.0,0.016
23,A,0.2,1.0,0.0,0.016
24,H,0.8,1.0,0.0,0.016
25,H,0.8,1.0,1.0,0.2
26,A,0.4,1.0,0.0,0.016
27,H,0.6,1.0,0.0,0.016
28,H,0.6,1.0,0.0,0.016
29,,,0.0,1.0,0.2
30,H,0.8,1.0,0.0,0.016
31,H,0.6,1.0,0.0,0.016
32,H,0.8,1.0,0.0,0.016
33,A,0.7,1.0,1.0,0.2
34,N,0.5,1.0,0.0,0.016
35,N,0.5,1.0,0.0,0.016
36,A,0.4,1.0,0.0,0.016
37,A,0.4,1.0,0.0,0.016
38,,,0.0,1.0,0.2
39,A,0.2,1.0,0.0,0.016
40,N,0.5,1.0,1.0,0.2
41,,,0.0,0.0,0.016
42,H,0.8,1.0,0.0,0.016
43,,,0.0,1.0,0.2
44,H,0.8,1.0,0.0,0.016
45,N,0.5,1.0,1.0,0.2
46,H,0.8,1.0,1.0,0.2
47,H,0.6,1.0,1.0,0.2
48,A,0.7,1.0,1.0,0.2
49,H,0.6,1.0,1.0,0.2
50,A,0.4,1.0,0.0,0.016
51,N,0.5,1.0,1.0,0.2
52,N,0.5,1.0,1.0,0.2
53,H,0.6,1.0,1.0,0.2
54,H,0.8,1.0,0.0,0.016
55,A,0.3,1.0,0.0,0.016
56,H,0.6,1.0,0.0,0.016
57,A,0.4,1.0,1.0,0.2
58,N,0.5,1.0,1.0,0.2
59,A,0.3,1.0,1.0,0.2
60,A,0.3,1.0,0.0,0.016
61,A,0.7,1.0,0.0,0.016
62,H,0.6,1.0,0.0,0.016
63,A,0.2,1.0,1.0,0.2
64,H,0.6,1.0,0.0,0.016
65,A,0.7,1.0,0.0,0.016
66,A,0.2,1.0,1.0,0.2
67,H,0.6,1.0,0.0,0.016
68,A,0.4,1.0,1.0,0.2
69,A,0.2,1.0,1.0,0.2
70,A,0.7,1.0,1.0,0.2
71,A,0.4,1.0,1.0,0.2
72,,,0.0,1.0,0.2
73,A,0.2,1.0,1.0,0.2
74,A,0.4,1.0,0.0,0.016
75,A,0.2,1.0,1.0,0.2
76,A,0.7,1.0,1.0,0.2
77,A,0.3,1.0,1.0,0.2
78,H,0.8,1.0,1.0,0.2
79,,,0.0,0.0,0.016
80,A,0.7,1.0,1.0,0.2
81,A,0.3,1.0,0.0,0.016
82,A,0.3,1.0,0.0,0.016
83,A,0.3,1.0,1.0,0.2
84,,,0.0,1.0,0.2
85,N,0.5,1.0,1.0,0.2
86,H,0.6,1.0,0.0,0.016
87,A,0.2,1.0,0.0,0.016
88,A,0.3,1.0,1.0,0.2
89,A,0.3,1.0,1.0,0.2
90,,,0.0,0.0,0.016
91,A,0.7,1.0,0.0,0.016
92,A,0.7,1.0,0.0,0.016
93,A,0.7,1.0,1.0,0.2
94,N,0.5,1.0,1.0,0.2
95,A,0.3,1.0,0.0,0.016
96,,,0.0,1.0,0.2
97,,,0.0,1.0,0.2
98,A,0.7,1.0,1.0,0.2
99,,,0.0,1.0,0.2
100,N,0.5,1.0,0.0,0.016
101,A,0.4,1.0,0.0,0.016
