,Percept,Bias,Present,ConsciousCondition,Duration
0,A,0.7,1.0,0.0,0.016
1,,,0.0,0.0,0.016
2,A,0.4,1.0,1.0,0.2
3,N,0.5,1.0,0.0,0.016
4,N,0.5,1.0,1.0,0.2
5,A,0.3,1.0,0.0,0.016
6,A,0.3,1.0,1.0,0.2
7,A,0.4,1.0,0.0,0.016
8,A,0.3,1.0,0.0,0.016
9,H,0.8,1.0,0.0,0.016
10,A,0.4,1.0,0.0,0.016
11,H,0.6,1.0,1.0,0.2
12,,,0.0,0.0,0.016
13,H,0.8,1.0,0.0,0.016
14,A,0.4,1.0,0.0,0.016
15,A,0.3,1.0,0.0,0.016
16,H,0.8,1.0,1.0,0.2
17,A,0.2,1.0,1.0,0.2
18,H,0.8,1.0,1.0,0.2
19,A,0.7,1.0,1.0,0.2
20,,,0.0,1.0,0.2
21,H,0.6,1.0,1.0,0.2
22,A,0.7,1.0,0.0,0.016
23,A,0.4,1.0,0.0,0.016
24,N,0.5,1.0,0.0,0.016
25,A,0.3,1.0,1.0,0.2
26,A,0.2,1.0,0.0,0.016
27,A,0.2,1.0,0.0,0.016
28,A,0.7,1.0,0.0,0.016
29,H,0.6,1.0,1.0,0.2
30,,,0.0,0.0,0.016
31,A,0.3,1.0,0.0,0.016
32,H,0.6,1.0,0.0,0.016
33,,,0.0,1.0,0.2
34,A,0.3,1.0,0.0,0.016
35,,,0.0,0.0,0.016
36,H,0.6,1.0,0.0,0.016
37,H,0.6,1.0,0.0,0.016
38,N,0.5,1.0,1.0,0.2
39,N,0.5,1.0,0.0,0.016
40,H,0.8,1.0,1.0,0.2
41,A,0.2,1.0,0.0,0.016
42,,,0.0,0.0,0.016
43,H,0.6,1.0,1.0,0.2
44,A,0.7,1.0,0.0,0.016
45,A,0.7,1.0,1.0,0.2
46,A,0.3,1.0,1.0,0.2
47,N,0.5,1.0,1.0,0.2
48,H,0.8,1.0,1.0,0.2
49,,,0.0,1.0,0.2
50,H,0.8,1.0,0.0,0.016
51,A,0.4,1.0,1.0,0.2
52,A,0.7,1.0,1.0,0.2
53,H,0.8,1.0,1.0,0.2
54,A,0.7,1.0,0.0,0.016
55,N,0.5,1.0,0.0,0.016
56,A,0.3,1.0,0.0,0.016
57,A,0.3,1.0,1.0,0.2
58,H,0.6,1.0,1.0,0.2
59,,,0.0,1.0,0.2
60,N,0.5,1.0,0.0,0.016
61,,,0.0,0.0,0.016
62,,,0.0,0.0,0.016
63,H,0.6,1.0,1.0,0.2
64,H,0.8,1.0,0.0,0.016
65,N,0.5,1.0,0.0,0.016
66,A,0.3,1.0,1.0,0.2
67,N,0.5,1.0,0.0,0.016
68,,,0.0,1.0,0.2
69,A,0.2,1.0,1.0,0.2
70,H,0.8,1.0,1.0,0.2
71,A,0.4,1.0,1.0,0.2
72,H,0.8,1.0,1.0,0.2
73,H,0.6,1.0,1.0,0.2
74,,,0.0,0.0,0.016
75,H,0.6,1.0,1.0,0.2
76,,,0.0,1.0,0.2
77,A,0.4,1.0,1.0,0.2
78,N,0.5,1.0,1.0,0.2
79,A,0.7,1.0,0.0,0.016
80,A,0.4,1.0,1.0,0.2
81,H,0.8,1.0,0.0,0.016
82,A,0.3,1.0,0.0,0.016
83,N,0.5,1.0,1.0,0.2
84,A,0.2,1.0,1.0,0.2
85,A,0.4,1.0,1.0,0.2
86,A,0.4,1.0,0.0,0.016
87,,,0.0,0.0,0.016
88,A,0.2,1.0,1.0,0.2
89,A,0.2,1.0,1.0,0.2
90,,,0.0,0.0,0.016
91,A,0.4,1.0,0.0,0.016
92,A,0.7,1.0,0.0,0.016
93,A,0.2,1.0,1.0,0.2
94,A,0.2,1.0,1.0,0.2
95,,,0.0,0.0,0.016
96,,,0.0,1.0,0.2
97,A,0.7,1.0,1.0,0.2
98,A,0.2,1.0,1.0,0.2
99,H,0.6,1.0,1.0,0.2
100,A,0.2,1.0,0.0,0.016
101,A,0.7,1.0,0.0,0.016
